Time (s),Depth,TEMP,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.384,386.212085854139,44.3488460097898,-6140.707,33.09124755859375,6140.707,1008.830078125,37708284.0
0.388,390.4379194163027,44.46607047588065,-10746.238,30.999183654785156,10746.238,-1228.141796875,115481640.0
0.392,394.2844835332095,44.650069011992514,-9430.375,220.21632385253906,9430.375,-4079.184765625,88931976.0
0.396,398.26565800421236,44.71290922037907,-2193.1113,28.28865623474121,2193.1113,-5570.5,4809737.5
0.4,402.5752648154473,44.838268537081305,7895.1953,27.660295486450195,7895.1953,-4123.047265625,62334108.0
0.404,406.80502681991544,45.073296245212035,15790.391,27.099353790283203,15790.391,263.172265625,249336430.0
0.408,411.09364926636755,44.909444551354284,17325.57,26.078737258911133,17325.57,5877.533984375,300175400.0
0.412,415.3491793250431,45.0149671730017,11184.859,26.025691986083984,11184.859,10000.580859375,125101080.0
0.416,419.66797858516776,45.133797858516864,-657.9336,25.76356315612793,657.9336,10307.61640625,432876.62
0.42,424.02083771302694,45.10104188565134,-12720.039,25.376991271972656,12720.039,6184.56953125,161799400.0
0.424,428.3715354756567,45.18743070951313,-19518.68,25.598941802978516,19518.68,-877.24453125,380978850.0
0.428,432.7857040152595,45.273142240915504,-17764.191,224.93698120117188,17764.191,-7895.196875,315566500.0
0.432,437.205962376142,45.31711924752287,-9649.684,24.548704147338867,9649.684,-12062.10546875,93116390.0
0.436,441.31325619620185,45.34826512392401,438.6211,24.22394371032715,438.6211,-11842.79453125,192388.47
0.44,445.49732779180533,45.344347387065305,7895.1953,23.289125442504883,7895.1953,-7719.74765625,62334108.0
0.444,449.79844705744296,45.54290682344648,11184.859,23.187543869018555,11184.859,-1579.03984375,125101080.0
0.448,454.00483636656196,45.61790327266876,10307.617,23.23244857788086,10307.617,4035.321875,106246980.0
0.452,458.28339671002993,45.678,6579.328,23.79932403564453,6579.328,7281.12421875,43287560.0
0.456,462.5889576036497,45.72043551152564,1096.5547,25.39390754699707,1096.5547,7412.7109375,1202432.1
0.46,467.1119685925704,45.767,-4166.91,26.14984893798828,4166.91,5000.28984375,17363140.0
0.464,471.7451031784504,45.97215722249154,-7237.2656,26.159500122070312,7237.2656,1315.86484375,52378012.0
0.468,475.9709210516555,46.119836842066235,-7237.2656,225.6750946044922,7237.2656,-2193.11171875,52378012.0
0.472,480.38821501631674,46.220117849836825,-5263.465,21.423067092895508,5263.465,-4561.6703125,27704062.0
0.476,484.7041611292189,46.22420805646102,-2412.4219,18.922330856323242,2412.4219,-5263.465625,5819779.5
0.48,488.91359005207,46.45044620937278,877.2422,17.255224227905273,877.2422,-4254.63515625,769553.9
0.484,493.23876303282503,46.67038763032826,5044.1523,18.17123794555664,5044.1523,-1798.3515625,25443472.0
0.488,497.58783756975254,46.875851370117395,9430.371,19.58722496032715,9430.371,1535.17578125,88931896.0
0.492,502.06091873060484,46.89843674922416,12062.105,21.255666732788086,12062.105,5000.28984375,145494380.0
0.496,506.6856921651376,46.83528615669722,10526.93,21.96063995361328,10526.93,7588.16015625,110816250.0
0.5,511.34289652455305,46.84629240917394,5482.7734,21.1777400970459,5482.7734,8509.26640625,30060804.0
0.504,515.6125693993056,46.895,-438.62305,20.17250633239746,438.62305,7412.711328125,192390.17
0.508,519.8545128423581,46.94145487157642,-4166.91,16.792781829833984,4166.91,4693.255078125,17363140.0
0.512,524.3011830058957,47.02798816994106,-5482.7773,11.191975593566895,5482.7773,1184.278515625,30060848.0
0.516,528.6273450662275,47.180093802649075,-6579.332,8.92133617401123,6579.332,-2236.973828125,43287610.0
